,text,question
10,"Merekar 6 
 
there is greater pressure to bridge the gap betwee n when the data is acquired and when it is 
analyzed. Finally, variety is the idea that data is now collected from many different sources. It 
can be structured (e.g., tabular) or unstructured (e.g., emails, documents, PowerPoints). In this 
work, these oppor tunities are taken advantage of, and findings from prior studies are considered .",How does the concept of velocity relate to the pressure to bridge the gap between data acquisition and analysis?
11,"Merekar 7 
 
Chapter 3: Related Work  
 As mentioned previously, this project builds  on prior studies in the field. Machine 
Learning and analytic methods have been explored not only for hear t transplantation, but in other 
realms of clinical decision making as well. For example, a study was conducted that analyzed the 
risk of acute kidney injury (AKI), which is associated with chronic kidney disease and poses a 
high risk of mortality (Parreco and Chatoor 725). Another study used machine learning 
techniques to predict remission outcomes of Type 2 Diabetes following bariatric surgery 
(Johnston et al. 580).  
 Although these studies are not directly related to heart transplantation, they do have 
aspects in common. Those studies, along with this one, are Classification problems where the 
response variable is binary, the methodology is relatively similar, and the same evaluation 
method of Area Under the Curve (AUC) is utilized.  Additionally, a common theme in Machine 
Learning studies in healthcare is the Logistic Regression model serves as a baseline for model 
comparison.  
 Moreover, directly related studies have been conducted with  the same  data in which 
Machine Learning was use d to predict one-year mortality. One example of a similar study 
include d a report from the Journal of Cardiac Failure, which compared results from traditional 
statistical techniques with more advanced techniques . This study employed six  variables: age of 
recipient, creatinine, body mass index, liver function tests, aspartate transaminase, and 
hemodynamics. With the given variables, models were created with traditional statistical 
techniques and machine learning algorithms; these were all evaluated  by the me tric AUC. The 
implementation of Deep Learning  models yielded the best AUC, which was roughly 0.66.  At the 
end, it was deemed that the implementation of more advanced techniques failed to yield a n",What are some examples of studies mentioned in the related work section that used machine learning techniques in healthcare decision making?
12,"Merekar 8 
 
improved result when compared to traditional approaches, as there was a modest discrepancy 
between the two (Miller et al. 3 -4). One possible drawback to this study was that the researchers 
only used the recipient data and did not emphasize the donor’s data. The study was also only 
limited to univaria te variables.  
In another  similar study , clinicians and data scientists utilized existing models to predict 
one-year mortality outcomes . The two models were IMPACT (Index for Mortality Prediction 
After Cardiac Transplantation) and IH TSA (International Heart  Transplantation Survival 
Algorithm) which both implemented Machine Learning and Deep Learning techniques. The 
IMPACT model yielded an AUC of 0.608 with 18 variables being used, while the IH TSA model 
yielded an AUC of 0.64 with 32 variables  (Medved et al.  3-6). One drawback to this study is that 
it was ambiguous as to which variables were used when each model was initially created .  
Another similar study was carried out where analytic methods were leveraged  to predict 
mortality outcomes, however, this study addressed a slightly different problem and diff ered in 
overall methodology. Various analytic techniques were still carried out, but this paper considered 
one, five, and nine -year mortality instead. To impute missing values for bias removal, the 
researchers used Synthetic Minority Oversampling TEchnique  (SMOTE) which is used to 
“improve random oversampling” (Blagus and Lusa 2). This technique is well suited for lower 
dimensional data but is not ideal in higher dimensional settings. The best performance this study 
was able to uncover were AUC’s of 0.624, 0.676, and 0.838 for one, five, and nine -year 
mortality, respectively (Dag et al. 47 -49).  
 In this study however, Donor and Recipient data will be analyzed through advanced 
algorithms to improve  overall predictive power in heart transplantation.  Additiona lly, the data 
will be split in various ways to potentially yield further insights and variables are to be","What were the two models used in a study to predict one-year mortality outcomes in heart transplantation, and what were their respective AUC values?"
13,"Merekar 9 
 
eliminated from the full dataset for interpretability. This is further explained in following 
chapters.",Why was Merekar 9 eliminated from the full dataset for interpretability?
14,"Merekar 10 
 
Chapter 4: Data  & Methodology  
 Data mi ning projects such as these have flexibility to be creative and dynamic. There is, 
however, an accepted framework known as CRISP -DM ( CRoss Industry Standard Process for 
Data Mining) which is independent in industry and technology used. This framework aims to 
organize the steps in a data mining project. CRISP -DM has been seen as beneficial for 
organizations conducting large data mining projects in terms of cost, reliability, and 
manageability. This is the overarching methodology used for this project to keep  a rigid structure 
and reduce errors. The relevant five elements of this framework are Business Understanding, 
Data Understanding, Data Preparation, Model Building, and Evaluation.  
 
 
 
 
 
 
 
 
 
 
 
 
 
 Figure 1. Phases of the CRISP -DM Model for Data Mining/Machine Learning. CRISP -DM – a 
Standard Methodology to Ensure a Goo d Outcome - Data Science Central . 
https://www.datasciencecentral.com/profiles/blogs/crisp -dm-a-standard -methodology -to-ensure -a-
good -outcome .",Explain the significance of the CRISP-DM framework in data mining projects and how it helps organizations.
15,"Merekar 11 
 
Business Understanding  
 The initial phase of the framework involves defining the problem at hand solely from the 
perspective of the business. Following this, the problem is converted into one that can be solved 
by data mining (Wirth and Hipp 5). In this case, the project lies in the domain of 
healthcare/medicine, so that was kept in mind throughout the process. The clearly defined 
problem is to understand and predict one -year mortality after a heart transplant.  
Data Understanding  
 The next phase of the framework is understanding t he data. This begins with obtaining 
data and conducting elementary observations to pick up on any immediate trends. Here, data 
quality issues are also identified (Wirth and Hipp 5). The corresponding query from the UNOS 
database yields a 32018 by 558 data frame. Each row represents an individual patient, and each 
patient has descriptive variables. It was apparent that the quality of the data was not quite up to 
par; missing values were present which made conducting initial analyses difficult . The data types  
of some variables also were not correct.  
Data Preparation  
 The data preparation phase spans all activities used to create the final data set; the one(s) 
that will be used in the model building process. This phase may be repeated many times in a 
given project. Some tasks include feature selection, data cleaning, and additional data 
transformation. In this project, the data had to be “cleaned” (e .g., adjusting data types, removing 
features, dealing with missing values) (Wirth and Hipp 5). One example of an adjusted data type 
was the response  variable, “One_year_mortality_retransplant”. This had to be changed to a 
“factor” data type. According to Python’s pandas documentation, these data types take on a 
“limited, and usually fixed, number of possible value s.” Missing values were dealt with",Explain the initial phase of the framework in the context of the healthcare/medicine domain. How is the problem defined and converted for data mining?
16,"Merekar 12 
 
differently depending  on the algorithm used to build each model. Cleaning was validated with 
clinicians, as they provided more insight for understanding the variables. In this project, the 
target variable had categories “ Died” or “Has not died” signified by the binary 1 and 0, 
respectively. In terms of feature selection, initially, many variables were omitted due to lack of 
variability cutting down the count to 420. Feature Selection was used again to reduce the number 
of variables to improve interpretability. This is further discussed at the end of the chapter.  
 Additionally, the data was iteratively prepared by splitting on factors such as time period 
of transplant, LVAD support, and Donor/Recipient gender combinations. W ith respect to time 
period, two new datasets were derived based on transplantation dates before and after 2006. For 
gender, each donor/recipient combination was analyzed, yielding four new datasets. The four 
combinations were male donor/male recipient, mal e donor/female recipient, female donor/male 
recipient, and female donor/female recipient. A Left Ventricular Assist Device (LVAD) is used 
when a patient is near heart failure but cannot acquire a transplant immediately. This device is 
installed to assume t he role of providing blood to vital organs (Gedela et al. 19). Two datasets 
were created here to understand how the analyses would change depending on whether the 
recipient had an LVAD or not.  
Model Building  
 In this phase, models are built and tested. Usu ally, there are several techniques that can 
be used to create models (Wirth and Hipp 6). The specific algorithms used for this study were 
Logistic Regression, Decision Trees/Random Forest, Tree Boosting, Neural Networks (Deep 
Learning), and Stacking. Logis tic Regression is the most traditional algorithm used in medicine, 
so for the purposes of this project, it serve d as the baseline for comparison. All models were built 
using the H2O module in the Python programming language powered by Amazon Web Services.",What were the categories of the target variable in this project and how were they represented?
17,"Merekar 13 
 
Discussion of Relevant Algorithms  
1. Logistic Regression  
 Logistic Regression is a widely used algorithm when the desired outcome is a question of 
classification. Rather than modeling a specific response directly, Logistic Regression model s the 
probability that the desired outcome belongs in a particular category. As the algorithm deals with 
probability, the related  sigmoidal  function must only produce outputs between 0 and 1. Below is 
the general logistic function for a multivariate Logist ic Regression (see Fig . B in Appendix for 
visual representation):  
𝑝(𝑋)= 𝑒𝛽0+𝛽1𝑋1+⋯+𝛽𝑝𝑋𝑝
1+𝑒𝛽0+𝛽1𝑋1+⋯+𝛽𝑝𝑋𝑝, 
where  𝑋=(𝑋1,𝑋2,…,𝑋𝑝) are p predictors. In this work, th e model derived from this algorithm 
served as a baseline for the performance of other  “advanced”  models  (James et. al 130 -133). 
With respect to models built with Logistic Regression, missing values were filled by mean 
imputation.  
2. Decision Trees/Random Fores t 
 Decision Tree is a hierarchical structure composed of branches and nodes . These are 
essentially a collection of ‘if/else’ statements that split decisions into binary classifications (in 
this case, “Died”  or “Has not died” ). Formally, this algorithm involves stratifying or segmenting 
the data set into a number of simple regions a nd making predictions (James et. al 306 -312):",Explain the concept of Logistic Regression and its application in classification tasks. How does the sigmoidal function play a role in this algorithm?
18,"Merekar 14 
 
 
 
 
 
 
 
 
Although decision trees are relatively simple to interpret, their downfall lies in the fact 
that they are not robust. A small change in the data can yield quite a large change in the final 
estimated tree. To correct this problem, the Random Forest algorithm may be implemented, 
which is essentially a larg e collection of decision trees ( Amornsamankul et al.  3). This algorithm 
corrects the instability of Decision Trees by bootstrap aggregating and decorrelating trees. This 
leads to stronger predictive power and lessens the risk of overfitting, which is touch ed on later in 
this chapter. With these models, missing values were filled by using the mode of respective 
variables.a. Divide the predictor space (the set of possible values for X1, X2, …, Xp) into J distinct and 
non-overlapping regions, R1, R2,…, R J. 
b. Create each binary partition based on node purity . This can be quantified by the Gini 
Index, where a pure node would produce a value closer to 0 ( 𝑝̂𝑚𝑘 represents the 
proportion of the kth classification in the mth region) : 
𝐺= ∑𝑝̂𝑚𝑘(1−𝑝̂𝑚𝑘) 𝐾
𝑘=1 
c. For every observation that falls into the region Rj, the same prediction is made , which is 
simply the mode  of the response values for the training observations in Rj.  
 
 Figure 2. Decision Tree Algorithm . James, Gareth, et al. An Introduction to Statistical Learning . 
Springer New York, 2013. DOI.org (Crossref) , pp. 306 -312, doi:10.1007/978 -1-4614 -7138 -7.",Explain the concept of node purity in the context of decision trees. How is it quantified using the Gini Index?
19,"Merekar 15 
 
3. Tree Boosting  
 Another way to combat Decision Tree instability is by using Boosting. Tree Boosting 
(e.g., Gradient Boosting Machine, Extreme Gradient Boosting) is widely used in machine 
learning  to achieve optimal performance. It is an ensemble method that sequentially creates new 
members; the newest member is created to account for incorrectly labeled inst ances from 
previous learners to minimize the loss function (direct relationship to error). The results of new 
trees are then applied partially to the entire solution. The algorithm executes M boosting 
iterations to learn a function F(x) that outputs predic tions ŷ = F(x)  while simultaneously 
minimizing a loss function L (y, ŷ). At each iteration, a new estimator f(x) is added to correct the 
prediction of y for each instance in training. This is shown formally below:  
 
 
 
 
 
 
 
 
 
 
 
 
 a. Start with a function which approximate s the true relationship of x and y: 
𝐹𝑚+1(𝑥)= 𝐹𝑚(𝑥)+𝑓(𝑥)=𝑦 
𝑓(𝑥)=𝑦−𝐹𝑚(𝑥) 
b. This fits the model f(x) for the current boosting iteration to the errors above 
(difference of actual and predicted). This can be shown as a gradient descent 
algorithm when the los s function is the squared error:  
𝐿(𝑦,𝐹(𝑥))= 1
2(𝑦−𝐹(𝑥))2 
c. Let the summation of this loss function be denoted as J. The goal is to minimize J by 
adjusting F(xi), the function of a particular instance.",Explain the concept of Tree Boosting and how it helps combat Decision Tree instability in machine learning.
20,"This can be shown as a gradient descent 
algorithm when the los s function is the squared error:  
𝐿(𝑦,𝐹(𝑥))= 1
2(𝑦−𝐹(𝑥))2 
c. Let the summation of this loss function be denoted as J. The goal is to minimize J by 
adjusting F(xi), the function of a particular instance.  
𝐽= ∑𝐿(𝑦𝑖,𝐹(𝑥𝑖))
𝑖 
𝑑𝐽
𝑑𝐹(𝑥𝑖)=𝑑(∑𝐿(𝑦𝑖,𝐹(𝑥𝑖)) 𝑖 )
𝑑𝐹(𝑥𝑖)=𝐹𝑚(𝑥𝑖)− 𝑦𝑖 
d. Thus, errors are equal to the negative gradient of the squared error loss function:  
𝑓(𝑥)=𝑦−𝐹𝑚(𝑥)=−𝑑(∑𝐿(𝑦𝑖,𝐹(𝑥𝑖)) 𝑖 )
𝑑𝐹(𝑥𝑖) 
 
Figure 3 . Tree Boosting Algorithm . Mitchell, Rory, and Eibe Frank. “Accelerating the XGBoost Algorithm Using GPU 
Computing.” PeerJ Computer Science , vol. 3, July 2017, pp. 3-4. DOI.org (Crossref) , doi: 10.7717/peerj -cs.127 .",Explain how the gradient descent algorithm can be applied to minimize the squared error loss function in the context of tree boosting.
21,"Merekar 16 
 
By adding a model that approximates this, the loss function is further minimized (Mitchell and 
Frank 3 -4). 
Often in the building phase, this algorithm will produce the strongest model in all facets 
of evaluation as it is inherently robust. Some of the drawbacks to this is that Tree Boosting tends 
to overfit but can also be corrected by adjusting tree sizes by p runing (Chen and Guestrin 3 -5). 
With these models, missing values were filled by using the mode of respective variables.  
4. Artificial Neural Networks (Deep Learning)  
 Neural Networks have recently been adapted as a viable data analytic method. These 
networks  aim to emulate that of the human brain, as they contain “neurons” (linear or non -linear 
computing elements) interconnected in complex ways and organized in layers.  
 A simple perceptron 2 constructs a linear combination of the inputs called the net input. 
Thereafter, an activation function is linked to produce an output, this maps any real input to a 
bounded range. A functional link network introduces a hidden layer in the network. This uses 
nonlinear activation functions to produce a fully nonlinear model (in parameters). Th e resulting 
model is known as an MLP or multilayer perceptron. These models are flexible, general purpose, 
and non -linear and have the ability to yield multiple outputs from many inputs. Given enough 
data, this can approximate to a desir ed degree of accuracy. During building, numerical values 
were filled by using mean imputation, while categorical ones were omitted. An illustration of a 
sample neural network may be found in the Appendix  (Fig. C) (Sarle 2 -5). 
5. Stacking  
Stacking is a n approach for building up classifier ensembles; this refers to a collection of 
classifiers in which their decisions are put together to classify new instances. The algorithm
 
2. A perceptron is a single -layer Neural Network. An interconnected system of perceptrons (MLP) yields a Neural 
Network.",Explain the concept of Tree Boosting and its advantages in the building phase of model evaluation. How can the issue of overfitting be addressed in Tree Boosting?
22,"Merekar 17 
 
combines multiple classifiers to induce a higher -level classifier with improved p redictive 
performance (Sakkis et al. 1 -2). In this study, two variants are used. “Best of Family” combines 
the best models from each algorithm, and “All Models” merges all models in a given iteration of 
building. Missing values were handled by the base alg orithms of the ensemble.  
Resampling Methods  
 Generally, in Machine Learning projects, the researcher splits a given dataset into a 
training and test set based on a chosen ratio. The training set is used to build models upon, while 
the test set acts as a pr oxy for how the model will perform on future, unseen data. This method, 
known as the Hold -Out Method, introduces additional error.  
An important concept to understand in this domain is the bias-variance tradeoff  
(sometimes also referred to as the tradeoff between data -fit and complexity). The main point of 
model building is to showcase that it can generalize to unseen data. Maybe counter -intuitively, 
predictive performance is not maximized by learning the training data as precisely as possible. 
An extremely  close fit to the training data is typically not ideal because the model will pick up 
random fluctuations in the data (i.e. noise) and miss the “broader regularities” in the dataset 
(Briscoe and Feldman 3 -4). Using just the Hold -Out method can lead to high  bias, low variance, 
or vice -versa. An illustration of the bias -variance tradeoff may be found in the Appendix (Fig. 
D). 
 Alternatively, r esampling methods can be defined as iteratively fitting models on 
randomly drawn samples of given data. One of these methods, perhaps the most popular, is k-
Fold Cross Validation. The dataset is divided into k folds (row -wise), where each k – 1 folds 
becom e training sets while the remaining fold acts as a test set. An error value is calculated for 
the “test” fold, and finally, the average of each test fold becomes the overall error value",Explain the concept of bias-variance tradeoff in the context of model building and predictive performance.
23,"Merekar 18 
 
(Rodriguez et al. 569).  This was the resampling method of choice for t his project, with k = 5. An 
illustration may be found below:  
 
 
 
 
 
 
 
 
 
Compared to the simple Hold -Out method, k-Fold Cross Validation has advantages in 
both bias and variance. Bias is reduced in the sense that there are more observations “seen” by 
the model during training. Variance is also reduced due to the fact that there is smaller overlap 
between each training  set. Given these considerations, it is empirically proven that k = 5 or k = 
10 yield test errors that do not suffer from high bias nor very high variance (James et al. 181 -
184).  
Model Evaluation  
 At this point in the framework, multiple models have been b uilt and are ready to be 
compared. The models are constructed correctly and are assumed to be of the best quality 
possible. Before deployment of a model, it is vital to thoroughly evaluate each model, review 
steps taken to build the model, and justify it u sing the business context (Wirth and Hipp 6).  
 
Figure 4 . K-Fold Cross Validation . Ren, Qiubing, et al. “Tectonic Discrimination of Olivine in 
Basalt Using Data Mining Techniques Based on Major Elements: A Comparative Study from 
Multiple Perspectives.” Big Earth Data , vol. 3, no. 1, Jan. 2019, p. 14. DOI.org (Crossref) , 
doi:10.1080/20964471.2019.1572452 .",Explain the advantages of k-Fold Cross Validation over the simple Hold-Out method in terms of bias and variance.
